name,sku,description,price,quantity,is_active,release_date,main_image,manual_file,category
TEXT,TEXT,TEXT,DECIMAL,INTEGER,BOOLEAN,DATE,MINIO_IMAGE,MINIO_FILE,TEXT
Extreme EagleEye Docking Station,EAG-DOC-760,Extreme EagleEye Docking Station. Comes with user manual Great for everyday use,22.95,1,true,2025-05-12,https://cdn.example.com/images/eag_doc_760.jpg,https://cdn.example.com/manuals/eag_doc_760_manual.pdf,Displays
Premium NexGen Router,NEX-ROU-304,Premium NexGen Router. Compatible with Linux Reliable router from NexGen Features cutting-edge technology,11.00,1169,true,2023-12-30,https://cdn.example.com/images/nex_rou_304.jpg,https://cdn.example.com/manuals/nex_rou_304_manual.pdf,Displays
Smart NexGen Speaker,NEX-SPE-411,Smart NexGen Speaker. Compatible with Mac Reliable speaker from NexGen,3167.99,50,true,2024-04-22,https://cdn.example.com/images/nex_spe_411.jpg,https://cdn.example.com/manuals/nex_spe_411_manual.pdf,Displays
Budget InnoGear Router,INN-ROU-371,Budget InnoGear Router. Features 2-year warranty Features innovative technology Great for travel use,68.99,67,true,2025-02-28,https://cdn.example.com/images/inn_rou_371.jpg,https://cdn.example.com/manuals/inn_rou_371_manual.pdf,Photography
Enterprise DataFlow SSD,DAT-SSD-343,Enterprise DataFlow SSD. Premium ssd from DataFlow Optimized for everyday use Supports iOS,182.00,4,true,2024-09-20,https://cdn.example.com/images/dat_ssd_343.jpg,https://cdn.example.com/manuals/dat_ssd_343_manual.pdf,Mobile
Premium PrimeTech Cable,PRI-CAB-623,Premium PrimeTech Cable. Features state-of-the-art technology Perfect for home use Durable cable from PrimeTech,534.95,492,true,2026-01-08,https://cdn.example.com/images/pri_cab_623.jpg,https://cdn.example.com/manuals/pri_cab_623_manual.pdf,Networking
High-Performance FutureTech Docking Station,FUT-DOC-896,High-Performance FutureTech Docking Station. Features latest technology Optimized for travel use,43.99,1,true,2025-10-12,https://cdn.example.com/images/fut_doc_896.jpg,https://cdn.example.com/manuals/fut_doc_896_manual.pdf,Displays
Professional InnoGear External Drive,INN-EXT-873,Professional InnoGear External Drive. Perfect for gaming use Premium external drive from InnoGear Features user manual,88.95,550,true,2026-04-02,https://cdn.example.com/images/inn_ext_873.jpg,https://cdn.example.com/manuals/inn_ext_873_manual.pdf,Storage
Elite CloudNet Memory Card,CLO-MEM-406,Elite CloudNet Memory Card. Optimized for office use Supports Linux Premium memory card from CloudNet,64.00,92,true,2025-05-17,https://cdn.example.com/images/clo_mem_406.jpg,https://cdn.example.com/manuals/clo_mem_406_manual.pdf,Displays
Budget TechNova Desktop,TEC-DES-416,Budget TechNova Desktop. Ideal for office use Includes quick start guide Compatible with Android,118.00,7,true,2025-01-03,https://cdn.example.com/images/tec_des_416.jpg,https://cdn.example.com/manuals/tec_des_416_manual.pdf,Gaming
Wireless VisionTech Switch,VIS-SWI-555,Wireless VisionTech Switch. Reliable switch from VisionTech Features 2-year warranty,823.99,94,true,2025-03-21,https://cdn.example.com/images/vis_swi_555.jpg,https://cdn.example.com/manuals/vis_swi_555_manual.pdf,Networking
Enterprise CoreSys Power Supply,COR-POW-372,Enterprise CoreSys Power Supply. Ideal for gaming use Features innovative technology Features user manual,75.95,8,true,2026-06-03,https://cdn.example.com/images/cor_pow_372.jpg,https://cdn.example.com/manuals/cor_pow_372_manual.pdf,Photography
High-Performance UltraComp Docking Station,ULT-DOC-177,High-Performance UltraComp Docking Station. Premium docking station from UltraComp Supports all major platforms Features innovative technology,42.99,65,true,2024-03-14,https://cdn.example.com/images/ult_doc_177.jpg,https://cdn.example.com/manuals/ult_doc_177_manual.pdf,Office
Compact PrimeTech Smart Speaker,PRI-SMA-974,Compact PrimeTech Smart Speaker. Supports iOS Features state-of-the-art technology Premium smart speaker from PrimeTech,34.99,397,true,2024-06-27,https://cdn.example.com/images/pri_sma_974.jpg,https://cdn.example.com/manuals/pri_sma_974_manual.pdf,Office
Super CloudNet Adapter,CLO-ADA-630,Super CloudNet Adapter. Works with iOS Features innovative technology Features user manual,12.99,84,true,2026-09-05,https://cdn.example.com/images/clo_ada_630.jpg,https://cdn.example.com/manuals/clo_ada_630_manual.pdf,Office
Professional DigiMax Scanner,DIG-SCA-693,Professional DigiMax Scanner. Designed for office use Works with Mac,185.99,278,false,2026-02-06,https://cdn.example.com/images/dig_sca_693.jpg,https://cdn.example.com/manuals/dig_sca_693_manual.pdf,Peripherals
