name,sku,description,price,quantity,is_active,release_date,main_image,manual_file,category
TEXT,TEXT,TEXT,DECIMAL,INTEGER,BOOLEAN,DATE,MINIO_IMAGE,MINIO_FILE,TEXT
Wireless Mouse,WI-100,Ergonomic wireless mouse,12.99,8,false,2024-01-05,https://picsum.photos/id/200/600/400,https://cdn.example.com/files/wi-100.pdf,Accessories
Mechanical Keyboard 02,ME-101,RGB backlit mechanical keyboard,16.56,15,true,2024-01-12,https://picsum.photos/id/201/600/400,https://cdn.example.com/files/me-101.pdf,Accessories
USB-C Hub 7-in-1 03,US-102,Multiport USB-C hub with HDMI and PD,20.13,22,true,2024-01-19,https://picsum.photos/id/202/600/400,https://cdn.example.com/files/us-102.pdf,Accessories
Noise Cancelling Headphones 04,NO-103,Over-ear ANC Bluetooth headphones,23.70,29,true,2024-01-26,https://picsum.photos/id/203/600/400,https://cdn.example.com/files/no-103.pdf,Audio
Portable SSD 1TB 05,PO-104,USB 3.2 portable solid-state drive,27.27,36,true,2024-02-02,https://picsum.photos/id/204/600/400,https://cdn.example.com/files/po-104.pdf,Storage
4K Webcam 06,4K-105,Ultra HD webcam with dual mics,30.84,43,true,2024-02-09,https://picsum.photos/id/205/600/400,https://cdn.example.com/files/4k-105.pdf,Accessories
Bluetooth Speaker 07,BL-106,Compact speaker with deep bass,34.41,50,true,2024-02-16,https://picsum.photos/id/206/600/400,https://cdn.example.com/files/bl-106.pdf,Audio
Smart LED Bulb 08,SM-107,Wi-Fi multicolor smart bulb,37.98,57,true,2024-02-23,https://picsum.photos/id/207/600/400,https://cdn.example.com/files/sm-107.pdf,Smart Home
Action Camera 09,AC-108,4K action cam with stabilization,41.55,64,true,2024-03-01,https://picsum.photos/id/208/600/400,https://cdn.example.com/files/ac-108.pdf,Cameras
Fitness Tracker 10,FI-109,Heart-rate and sleep monitor,45.12,71,false,2024-03-08,https://picsum.photos/id/209/600/400,https://cdn.example.com/files/fi-109.pdf,Wearables
Laptop Stand 11,LA-110,Adjustable aluminum laptop stand,48.69,78,true,2024-03-15,https://picsum.photos/id/210/600/400,https://cdn.example.com/files/la-110.pdf,Accessories
Ergonomic Chair 12,ER-111,Lumbar support office chair,52.26,85,true,2024-03-22,https://picsum.photos/id/211/600/400,https://cdn.example.com/files/er-111.pdf,Furniture
Smartwatch Classic 13,SM-112,AMOLED display with GPS,55.83,92,true,2024-03-29,https://picsum.photos/id/212/600/400,https://cdn.example.com/files/sm-112.pdf,Wearables
Wireless Charger 14,WI-113,15W MagSafe-compatible charger,59.40,99,true,2024-04-05,https://picsum.photos/id/213/600/400,https://cdn.example.com/files/wi-113.pdf,Accessories
Gaming Mouse Pad 15,GA-114,XL anti-slip RGB mouse pad,62.97,106,true,2024-04-12,https://picsum.photos/id/214/600/400,https://cdn.example.com/files/ga-114.pdf,Accessories
HDMI Cable 2m 16,HD-115,Ultra high speed HDMI 2.1,66.54,113,true,2024-04-19,https://picsum.photos/id/215/600/400,https://cdn.example.com/files/hd-115.pdf,Cables
Smart Plug 17,SM-116,Dual-outlet Wi-Fi smart plug,70.11,120,true,2024-04-26,https://picsum.photos/id/216/600/400,https://cdn.example.com/files/sm-116.pdf,Smart Home
Wi-Fi 6 Router 18,WI-117,Gigabit dual-band Wi-Fi 6 router,73.68,127,true,2024-05-03,https://picsum.photos/id/217/600/400,https://cdn.example.com/files/wi-117.pdf,Networking
Dash Cam 19,DA-118,1080p dash camera with GPS,77.25,134,false,2024-05-10,https://picsum.photos/id/218/600/400,https://cdn.example.com/files/da-118.pdf,Automotive
Portable Projector 20,PO-119,Mini projector 720p with HDMI,80.82,141,true,2024-05-17,https://picsum.photos/id/219/600/400,https://cdn.example.com/files/po-119.pdf,Cameras
Robot Vacuum 21,RO-120,Auto-charging smart vacuum,84.39,148,true,2024-05-24,https://picsum.photos/id/220/600/400,https://cdn.example.com/files/ro-120.pdf,Home Appliances
Air Purifier 22,AI-121,HEPA filter for large rooms,87.96,155,true,2024-05-31,https://picsum.photos/id/221/600/400,https://cdn.example.com/files/ai-121.pdf,Home Appliances
Electric Kettle 23,EL-122,1.7L stainless steel kettle,91.53,162,true,2024-06-07,https://picsum.photos/id/222/600/400,https://cdn.example.com/files/el-122.pdf,Kitchen
Espresso Machine 24,ES-123,15-bar pump espresso maker,95.10,169,true,2024-06-14,https://picsum.photos/id/223/600/400,https://cdn.example.com/files/es-123.pdf,Kitchen
Smart Thermostat 25,SM-124,Programmable Wi-Fi thermostat,98.67,176,true,2024-06-21,https://picsum.photos/id/224/600/400,https://cdn.example.com/files/sm-124.pdf,Smart Home
LED Monitor 27'' 26,LE-125,QHD IPS 75Hz monitor,12.99,183,true,2024-06-28,https://picsum.photos/id/225/600/400,https://cdn.example.com/files/le-125.pdf,Monitors
Graphic Tablet 27,GR-126,10x6 inch drawing tablet,16.56,190,true,2024-07-05,https://picsum.photos/id/226/600/400,https://cdn.example.com/files/gr-126.pdf,Accessories
USB Flash Drive 128GB 28,US-127,USB 3.1 metal flash drive,20.13,197,false,2024-07-12,https://picsum.photos/id/227/600/400,https://cdn.example.com/files/us-127.pdf,Storage
Smart Doorbell 29,SM-128,1080p video doorbell with chime,23.70,204,true,2024-07-19,https://picsum.photos/id/228/600/400,https://cdn.example.com/files/sm-128.pdf,Smart Home
Outdoor Security Cam 30,OU-129,Battery powered spotlight cam,27.27,211,true,2024-07-26,https://picsum.photos/id/229/600/400,https://cdn.example.com/files/ou-129.pdf,Smart Home
Laptop Backpack 31,LA-130,Water-resistant 15.6'' backpack,30.84,218,true,2024-08-02,https://picsum.photos/id/230/600/400,https://cdn.example.com/files/la-130.pdf,Bags
Portable Power Bank 32,PO-131,20000mAh PD power bank,34.41,225,true,2024-08-09,https://picsum.photos/id/231/600/400,https://cdn.example.com/files/po-131.pdf,Accessories
Smart Light Strip 33,SM-132,5m RGBIC smart light strip,37.98,232,true,2024-08-16,https://picsum.photos/id/232/600/400,https://cdn.example.com/files/sm-132.pdf,Smart Home
Cordless Drill 34,CO-133,18V lithium cordless drill set,41.55,239,true,2024-08-23,https://picsum.photos/id/233/600/400,https://cdn.example.com/files/co-133.pdf,Tools
